Carimbo de data/hora,ID,Squad,SS _Comunicação clara e objetiva,SS _Atendimento ao cliente,SS _Relação interpessoal,SS _Gestão de tempo,SS _Autogerenciamento,BI _Tableau,BI _Power BI,BI _Qlik,BI _AWS Quicksight,BI _MicroStrategy,BI _Pentaho Schema Workbench,BI _Pentaho Report Designer,BI _Oracle BI,BI _SAP Web Intelligence,BI _SAP Crystal Reports,BI _SAP BO,Analy_ PREP _Alteryx,Analy_ PREP _SAS,Analy_ PREP _Pentaho Data Integration,Analy_ PREP _Power Center,Analy_ PREP _SAP Analytics Cloud,Analy_ PREP _Oracle Data Integration,Analy_ PREP _SQL Server Integration Services,LingProg_Python,LingProg_Java,LingProg_SQL,LingProg_R,LingProg_Scala,LingProg_SAS,LingProg_C#,LingProg_SPSS,LingProg_Java Script,LingProg_C,LingProg_C++,BD_SQL Server,BD_Oracle,BD_Postgree SQL,BD_MySQL,BD_MongoDB,BD_Teradata,BD_Snowflake,BD_Access,BigData_Hadoop _Hadoop,BigData_Hadoop _MapReduce,BigData_Hadoop _Hive,BigData_Hadoop _HBase,BigData_Hadoop _Splunk,BigData_Hadoop _Horton works (HDP),BigData_Hadoop _Spark,BigData_Hadoop _Cloudera,BigData_Hadoop _Sqoop,BigData_Hadoop _NiFi,BigData_Hadoop _Flume,BigData_Hadoop _Kafka,BigData_Google Cloud Platform (GCP) _Google Cloud,BigData_Google Cloud Platform (GCP) _Big Query,BigData_Amazon Web Services (AWS) _S3,BigData_Amazon Web Services (AWS) _EC2,BigData_Amazon Web Services (AWS) _Lambda,BigData_Amazon Web Services (AWS) _Glue,BigData_Amazon Web Services (AWS) _Redshift,BigData_Amazon Web Services (AWS) _Spectrum,BigData_Amazon Web Services (AWS) _Athena,BigData_Amazon Web Services (AWS) _RDS,BigData_Microsoft Azure _Microsoft Azure,BigData_Microsoft Azure _Synapse,BigData_Microsoft Azure _Databricks,BigData_Microsoft Azure _SQL Database,BigData_Microsoft Azure _Azure SQL,GrauInstrucao,"Graduação - preencha com:
> nome do curso
> nome da instituição de ensino onde estuda/estudou
> ano/período que está/se formou","Pós-graduação/MBA - preencha com:
> nome do curso
> nome da instituição de ensino onde estuda/estudou
> ano/período que está/se formou",Idiomas_Inglês,Idiomas_Espanhol,Idiomas_Alemão,Idiomas_Francês,Certif_Tableau _Tableau Desktop Specialist,Certif_Tableau _Tableau Desktop Associate,Certif_Tableau _Tableau Server,Certif_Tableau _Tableau Certified Professional,Certif_Tableau _TtT,Certif_Tableau _Tableau Certified Associate Consultant,Certif_Tableau _Tableau Certified Associate Architect,Certif_Alteryx _Alteryx Design Core,Certif_Alteryx _Alteryx Design Advanced,Certif_Alteryx _Alteryx Partner Server Technical,Certif_Alteryx _Alteryx Partner Server Implementation,Certif_Alteryx _Alteryx Partner Certification,Certif_Alteryx _Alteryx Design Expert,"Você possui certificações não citadas acima? Se sim, quais?",Há quanto tempo você trabalha em TI?,Há quanto tempo você trabalha com Analytics?,Nome da última empresa na qual trabalhou,Última função exercida (na última empresa),Em qual período você trabalhou nesta empresa?,Você se declara ciente dos termos acima?,,DEV IDEs _VSCode,DEV IDEs _Jupyter,DEV IDEs _Zeppelin,Orchestration _Airflow,Orchestration _Prefect,Metodologia de Projetos _Scrum,Metodologia de Projetos _Kanban,Metodologia de Projetos _Cascata (Waterfall),Metodologia de Projetos _Lean,UX/UI _Figma,UX/UI _Storytelling,UX/UI _Visualization Best Practices,UX/UI _Design,Certif_AWS _AWS Cloud Practitioner,Certif_AWS _AWS Specialty - Data Analytics,Certif_AWS _AWS DevOps,Analy_ PREP _Talend Data Integration,Certif_AWS _Alteryx Partner Server Implementation,Certif_AWS _Alteryx Partner Certification,Certif_AWS _Alteryx Design Expert,Orchestration _Zeppelin,DEV IDEs _SQL Database,DEV IDEs _Azure SQL
26/06/2024 14:19:01,1,Jedis,3,3,3,3,3,5,3,3,4,2,3,2,2,2,3,2,3,3,3,3,2,2,4,3,3,4,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,2,2,3,4,3,4,2,4,2,4,4,4,Pós-graduação/MBA completo,Engenharia da Computação - Tuiuti 2000,Ciência de Dados  - Tuiuti 2002,2,2,1,1,Selecione se você já possui,Selecione se você já possui,Selecione se você já possui,,,,,,,,,,,,20,10,TCS,Consultor Tablaeu,junho 2021 - junho 2024,Sim,,4,4,2,3,3,5,5,3,3,3,3,3,3,,,,2,,,,,,
02/08/2023 15:51:37,2,Transformers,4,4,2,3,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,4,4,4,2,5,2,1,1,1,2,1,4,4,4,4,3,2,1,1,5,5,5,5,2,4,5,4,3,2,4,4,2,2,4,4,4,3,3,3,4,4,2,1,4,3,3,Pós-graduação/MBA incompleto,,"Data Analytics
FIA
2021",3,3,1,1,,,,,,,,,,,,,,,10 anos,6 anos,Via Varejo,Engenheiro de Dados,Marco 2019 - Junho 2022,Sim,,4,3,3,4,1,4,4,2,1,1,1,1,1,,,,,,,,,,
28/10/2024 10:22:39,3,Jedis,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,Pós-graduação/MBA completo,Engenharia de Computação - UNAERP - Julho 2021,MBA Engenharia de Dados XP Education - Julho - 2023,3,2,1,1,,,,,,,,,,,,,,,6 anos,4 anos,Everymind,Consultor Tableau e PBI,Setembro -2021 a Dezembro - 2021,Sim,,3,3,1,2,2,3,2,1,1,2,2,2,2,,,,1,,,,,,
01/11/2024 14:08:12,4,Jedis,4,3,2,4,4,1,,,,,,,,,,,5,,,,,,2,1,,4,,,,,,,,,4,4,4,4,2,,,,1,,2,,,,1,,,,,,1,,1,,,,,,,,1,,1,1,1,Ensino superior completo,Sistemas de Informação Associação Educacional Dom Bosco (2017),,3,,,,,,,,,,,Selecione se você já possui,Selecione se você já possui,Selecione se você já possui,Selecione se você já possui,Selecione se você já possui,Selecione se você já possui,,6 Anos,6 Anos,N/A,N/A,N/A,Sim,,1,1,,1,1,2,2,1,1,,,,,,,,1,,,,,,
02/06/2023 10:36:17,5,Avengers,3,4,3,2,2,3,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ensino superior completo,"Análise e Desenvolvimento de Sistemas
Centro Universitário Estácio do Ceará
formada em 12/2016",,2,1,1,1,,,,,,,,Selecione se você já possui,,,,,,,12 anos,3 anos,Cobcred,Analista de BI,abril/2020-setembro/2021,Sim,,2,2,1,1,1,3,1,1,1,2,1,1,1,,,,,,,,,,
03/06/2024 12:38:41,6,Jedis,2,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,3,1,1,3,1,1,1,1,,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Ensino superior completo,Análise e desenvolvimento de Sistemas - Centro Universitário Estácio do Ceará - 2023,,1,1,1,1,,,,,,,,,,,,,,,3 anos,3 anos,Central de recuperação de créditos - CRC,Analista de suporte computacional,janeiro 2021 - novembro 2021,Sim,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,3,,,,,,
15/02/2023 11:20:28,7,Highlanders,4,3,3,2,3,5,3,3,3,1,1,1,1,2,2,3,4,4,2,1,1,2,3,2,1,4,2,1,3,1,1,1,2,2,4,3,3,4,4,3,2,3,3,1,3,1,2,1,2,3,1,1,1,2,3,4,4,3,2,2,2,2,4,2,1,1,1,2,1,Pós-graduação/MBA incompleto,"Engenharia Civil - USJT (2018), Gestão de TI - UNIP (2016), Matemática - UNIP (2016)",MBA em AdvancedAnaly_ FIAP (2024),5,4,1,2,Selecione se você já possui,,,,,Selecione se você já possui,,Selecione se você já possui,,,,Selecione se você já possui,,Bizagi Partner,6 anos,5 anos,Itaú Unibanco,Analista Sênior,2022,Sim,,,,,,,,,,,,,,,,,,,,,,,,
04/12/2023 08:40:55,8,Highlanders,3,4,4,2,3,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,4,3,5,3,3,2,4,2,2,4,4,4,3,4,4,3,2,2,2,4,3,4,2,2,2,4,4,1,1,1,2,3,3,4,4,4,3,4,2,4,2,2,2,3,3,3,Pós-graduação/MBA incompleto,Graduação em Engenharia de Computação,,6,3,1,1,,,,,,,,,,,,,,,5 anos,4 anos,Elo cartões,Engenheiro e dados Senior,setembro 2022 - novembro 2023,Sim,,4,4,4,3,2,5,4,4,3,1,3,3,2,,,,,,,,,,
20/01/2023 16:47:47,9,Highlanders,2,2,3,2,2,3,2,,,,,,,,,2,,,,,,,1,3,,3,,1,,,,,,,2,1,,,,,,1,1,,1,,,,2,,,,,,,,3,1,1,1,,,3,,1,,1,3,,Pós-graduação/MBA completo,Engenharia de Produção - FACIC Faculdade de Ciências - 2022,Engenharia de Software - Dom Alberto - 2022,1,1,1,1,,,,,,,,,,,,,,,4,3,Iochpe Maxion - Structural Components,Analista de Dados,Março 2013 - Outubro 2020,Sim,,,,,,,,,,,,,,,sim,,,,,,,,,
20/01/2023 18:35:44,10,Jedis,3,2,2,2,3,4,,,,,,,,,,,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pós-graduação/MBA completo,Engenharia Inustrial Elétrica / CEFET-MG / Dez-1991,"Gestão estratégica de TI / FGV / Dez-2009
Big Data / FGV / Dez-2023",5,1,,,,sim,,,,sim,,,,,,,,,29 anos,8 anos,Mondelez,PMO,Maio 2022 - Agosto 2022,Sim,,,,,,,,,,,,,,,,,,,,,,,,
